tx_id,timestamp,sender,receiver,amount
T0019366,2025-11-03 16:52:53.608166,A000240,A001148,722.22
T0004600,2025-10-22 22:39:02.608166,A003249,A001596,2073.18
T0011758,2025-11-07 19:48:10.608166,A000796,A004420,805.97
T0011178,2025-10-30 09:10:56.608166,A002030,A004471,5791.76
T0026583,2025-11-16 22:51:38.608166,A003073,A001574,1599.37
T0013024,2025-10-30 17:32:14.608166,A003594,A003174,1499.06
T0023836,2025-11-02 12:51:34.608166,A002648,A000670,349.59
T0003486,2025-10-22 04:57:50.608166,A001500,A000682,69.93
T0024159,2025-10-23 04:13:49.608166,A002970,A000439,2353.48
T0008716,2025-11-05 08:37:53.608166,A002903,A004918,1566.41
T0002023,2025-10-25 09:50:06.608166,A001818,A003552,598.7
T0009140,2025-11-04 02:42:51.608166,A000358,A002241,716.41
T0001889,2025-10-23 12:12:08.608166,A001845,A004400,19.65
T0017202,2025-11-17 16:38:50.608166,A002764,A004122,1995.59
T0018422,2025-11-09 15:50:00.608166,A001939,A000695,296.94
T0014698,2025-11-16 20:25:02.608166,A004385,A000018,1019.17
T0003984,2025-11-19 03:37:51.608166,A004386,A000998,708.26
T0004385,2025-11-10 17:29:42.608166,A000175,A002297,1054.87
T0025530,2025-11-01 08:01:59.608166,A004159,A004180,1001.95
T0014732,2025-10-28 20:37:48.608166,A001723,A001735,540.2
T0017357,2025-11-06 05:29:03.608166,A000469,A002393,6850.14
T0004338,2025-11-02 02:27:50.608166,A004396,A001090,6747.11
T0019409,2025-11-05 01:43:29.608166,A004022,A004950,3296.5
T0000393,2025-11-01 18:08:58.608166,A003866,A001772,744.53
T0013349,2025-11-12 07:42:08.608166,A001774,A004724,860.82
T0018360,2025-11-04 16:24:18.608166,A000061,A001409,2645.9
T0010952,2025-10-24 23:46:28.608166,A003557,A001688,6136.34
T0025659,2025-11-04 19:24:56.608166,A004237,A002833,333.51
T0000809,2025-10-23 20:40:54.608166,A000542,A000556,1054.15
T0016924,2025-10-28 21:19:27.608166,A004017,A004280,2144.78
T0002215,2025-11-18 04:46:42.608166,A000618,A001256,6574.02
T0024818,2025-11-13 22:24:34.608166,A003390,A000244,525.83
T0000582,2025-10-28 19:27:32.608166,A003486,A003155,3290.74
T0007152,2025-10-21 02:20:08.608166,A003597,A001694,234.27
T0018766,2025-11-04 02:48:09.608166,A003968,A000114,5251.15
T0026390,2025-11-03 08:49:15.608166,A004922,A003409,2307.68
T0022825,2025-10-25 05:56:31.608166,A001988,A001880,708.06
T0012035,2025-11-05 07:43:07.608166,A003508,A001943,630.21
T0015663,2025-11-19 18:58:57.608166,A003741,A002100,1465.87
T0000261,2025-11-09 19:03:17.608166,A000960,A002454,2843.12
T0003657,2025-11-16 02:12:35.608166,A004970,A001416,3253.03
T0025852,2025-11-10 06:35:11.608166,A003541,A004449,3910.47
T0006511,2025-11-09 10:31:15.608166,A003904,A004890,175.85
T0009958,2025-11-15 03:28:46.608166,A004041,A003028,2278.43
T0025942,2025-11-10 17:11:22.608166,A004557,A004588,2598.4
T0007441,2025-10-27 19:47:31.608166,A001939,A004786,694.39
T0021534,2025-11-10 12:29:07.608166,A000341,A001071,825.64
T0012696,2025-10-21 03:42:29.608166,A000354,A003320,1775.75
T0023596,2025-11-04 18:42:19.608166,A004924,A002485,168.74
T0013752,2025-11-04 16:54:31.608166,A001582,A004501,256.3
T0025117,2025-11-02 18:11:59.608166,A003701,A002736,2869.35
T0018896,2025-10-26 01:49:00.608166,A001618,A001947,827.3
T0026760,2025-11-07 09:44:57.608166,A000382,A004945,50.0
T0015794,2025-11-01 12:19:01.608166,A004642,A002798,405.24
T0017369,2025-10-31 16:40:23.608166,A004902,A004635,702.81
T0008945,2025-11-06 18:10:09.608166,A001056,A004838,1309.53
T0007703,2025-11-01 05:03:15.608166,A003445,A000086,393.11
T0020280,2025-11-16 22:46:39.608166,A000118,A003679,1541.57
T0023479,2025-11-18 23:35:23.608166,A003992,A002415,2523.12
T0000852,2025-11-16 05:43:57.608166,A003122,A004673,3829.71
T0005497,2025-11-16 00:57:41.608166,A002391,A003607,2721.53
T0005487,2025-10-29 17:42:31.608166,A001875,A000343,207.34
T0003780,2025-11-14 23:11:08.608166,A001680,A001624,2938.67
T0017740,2025-11-12 00:08:03.608166,A004710,A001936,262.82
T0010039,2025-10-28 17:25:26.608166,A003431,A001994,919.15
T0022168,2025-10-27 00:44:35.608166,A003659,A001544,1706.64
T0012655,2025-11-03 05:18:12.608166,A000948,A002913,1237.29
T0014863,2025-11-16 03:26:28.608166,A004728,A000882,70.38
T0016087,2025-10-24 11:10:13.608166,A000569,A000907,39.19
T0002338,2025-10-27 13:45:05.608166,A004743,A002082,830.01
T0013499,2025-10-21 22:50:38.608166,A004728,A004919,1944.96
T0014658,2025-11-19 05:58:10.608166,A002562,A002634,155.76
T0021787,2025-10-30 13:23:27.608166,A001213,A001729,1594.94
T0010863,2025-11-08 10:33:13.608166,A002036,A000017,3095.4
T0024636,2025-11-02 02:50:54.608166,A000450,A003286,3909.6
T0024354,2025-10-31 11:21:44.608166,A003048,A004598,2048.03
T0024919,2025-11-02 00:04:45.608166,A001072,A003456,554.27
T0020661,2025-11-19 05:26:16.608166,A004392,A000418,2610.63
T0026150,2025-11-14 01:28:04.608166,A000655,A004662,351.83
T0024989,2025-10-22 17:58:26.608166,A003568,A004232,4450.55
T0001199,2025-11-09 00:24:55.608166,A004383,A001131,797.17
T0000829,2025-11-13 12:08:01.608166,A000106,A001831,3504.52
T0009429,2025-11-04 15:27:28.608166,A004852,A002627,2810.51
T0005461,2025-11-04 15:22:29.608166,A004458,A003766,2058.06
T0001427,2025-11-06 00:29:17.608166,A003399,A000470,829.14
T0023261,2025-11-08 18:38:23.608166,A002666,A002300,185.22
T0017755,2025-11-08 12:21:38.608166,A000074,A000305,379.18
T0014491,2025-11-15 06:38:29.608166,A000393,A002159,1558.71
T0005587,2025-10-24 08:55:18.608166,A000731,A000719,1066.6
T0018945,2025-10-24 05:43:55.608166,A003659,A001354,769.16
T0015807,2025-11-15 01:09:32.608166,A000774,A004115,4574.53
T0022813,2025-10-25 15:46:56.608166,A001853,A002593,159.03
T0005864,2025-10-29 17:48:55.608166,A001621,A002391,4049.88
T0026356,2025-11-09 14:59:59.608166,A001074,A004905,1008.44
T0012214,2025-11-14 10:30:44.608166,A000560,A003800,1593.05
T0003502,2025-10-21 05:28:46.608166,A000100,A002437,1593.71
T0006328,2025-10-31 05:33:20.608166,A001705,A003689,547.05
T0020197,2025-10-24 16:59:40.608166,A000092,A004557,110.6
T0018511,2025-11-05 03:55:27.608166,A001542,A003936,426.98
T0011982,2025-11-14 18:12:42.608166,A000068,A004324,1603.54
T0017721,2025-11-18 11:30:08.608166,A000447,A002085,3457.56
T0006449,2025-10-24 06:07:48.608166,A003395,A004154,1280.13
T0007228,2025-11-10 20:32:29.608166,A002409,A001812,125.58
T0021676,2025-11-06 03:43:16.608166,A001841,A001113,2952.53
T0001832,2025-10-27 22:28:59.608166,A001894,A004699,3179.27
T0016511,2025-10-29 17:31:03.608166,A001705,A001146,1208.63
T0001252,2025-11-19 21:30:38.608166,A002854,A003755,1193.71
T0017702,2025-11-14 21:00:05.608166,A004768,A003860,448.66
T0014061,2025-10-25 12:50:06.608166,A004518,A001156,1400.83
T0001269,2025-11-08 02:24:36.608166,A001129,A000613,2172.32
T0024083,2025-11-09 04:48:31.608166,A001361,A002923,1639.57
T0012401,2025-10-24 03:42:54.608166,A000656,A001959,1988.07
T0001965,2025-11-09 07:17:13.608166,A003069,A002624,2278.54
T0018678,2025-11-07 22:16:14.608166,A003834,A000244,116.34
T0006362,2025-11-18 22:24:01.608166,A003131,A000440,2935.3
T0010323,2025-11-13 02:01:33.608166,A003156,A001284,840.56
T0020345,2025-11-03 15:16:20.608166,A000119,A002304,1966.32
T0002260,2025-11-16 03:32:18.608166,A003219,A001779,1589.98
T0012343,2025-11-11 17:05:29.608166,A004067,A004379,1557.89
T0019782,2025-11-07 01:18:18.608166,A001949,A001716,489.97
T0016845,2025-11-18 21:02:29.608166,A002443,A000941,87.17
T0001268,2025-11-12 16:51:53.608166,A003454,A004928,382.18
T0000434,2025-10-30 23:37:49.608166,A000948,A002841,1115.02
T0016787,2025-10-30 18:25:13.608166,A003337,A002609,1401.73
T0023154,2025-10-31 07:22:02.608166,A002237,A001271,6095.17
T0005015,2025-10-29 20:33:42.608166,A004231,A002354,420.8
T0006069,2025-11-18 04:24:11.608166,A003197,A004552,526.13
T0000297,2025-10-31 08:34:39.608166,A004732,A004602,441.6
T0002201,2025-11-18 17:42:36.608166,A004938,A001870,492.64
T0001513,2025-11-14 13:03:07.608166,A004585,A003320,2416.33
T0016452,2025-11-01 17:48:11.608166,A000593,A000629,500.6
T0007368,2025-11-17 09:39:28.608166,A001057,A004190,1020.75
T0023082,2025-11-13 11:07:37.608166,A002196,A004901,1492.36
T0003898,2025-11-02 12:06:42.608166,A003809,A002836,524.25
T0022789,2025-10-25 13:27:56.608166,A000544,A001853,2049.73
T0026539,2025-11-07 20:19:30.608166,A001806,A004995,1303.34
T0005009,2025-11-02 00:03:02.608166,A004508,A002009,1538.29
T0024617,2025-11-01 04:58:18.608166,A002374,A003244,2782.9
T0017040,2025-10-23 03:47:56.608166,A000499,A001690,5388.64
T0012850,2025-11-05 02:17:23.608166,A002343,A003401,830.64
T0014785,2025-10-26 00:28:24.608166,A004816,A000648,17.88
T0003234,2025-11-19 08:32:28.608166,A002670,A002270,2974.94
T0017330,2025-11-05 12:49:12.608166,A004211,A002557,1098.54
T0019826,2025-11-04 03:53:35.608166,A001187,A002064,1324.91
T0010920,2025-11-12 04:25:35.608166,A004449,A002523,1360.16
T0002496,2025-11-16 05:31:59.608166,A003258,A000666,1075.09
T0026324,2025-10-29 08:29:59.608166,A000293,A004901,5882.62
T0000397,2025-11-18 10:25:05.608166,A001782,A004920,690.66
T0008807,2025-11-12 14:37:31.608166,A003342,A001643,205.17
T0015959,2025-10-24 17:02:59.608166,A000795,A002613,2519.02
T0007448,2025-11-13 06:29:59.608166,A001028,A001079,2044.0
T0024633,2025-11-01 05:41:18.608166,A003244,A000793,3458.38
T0000437,2025-11-02 01:37:55.608166,A002048,A004542,761.86
T0002472,2025-11-04 03:13:42.608166,A000312,A001286,549.39
T0000677,2025-10-21 09:21:21.608166,A002503,A001320,2057.23
T0018394,2025-10-24 05:55:45.608166,A001726,A001172,2208.32
T0023313,2025-11-09 21:30:49.608166,A002304,A002652,1112.18
T0003135,2025-11-01 14:46:18.608166,A003961,A000951,664.89
T0013603,2025-11-19 15:36:07.608166,A003661,A002865,1376.36
T0019825,2025-11-16 05:59:33.608166,A004302,A000540,1655.62
T0000395,2025-11-12 05:18:46.608166,A002653,A001729,1547.96
T0026210,2025-10-29 08:02:40.608166,A004835,A002456,2027.91
T0014667,2025-10-28 19:33:49.608166,A004010,A000501,2023.32
T0003972,2025-10-27 05:27:37.608166,A003205,A001922,470.25
T0012825,2025-10-21 18:39:49.608166,A003227,A000953,533.47
T0005934,2025-11-07 23:39:08.608166,A001240,A003225,49.3
T0026880,2025-11-06 13:48:57.608166,A000300,A002970,1485.29
T0007016,2025-11-11 15:15:07.608166,A004491,A000374,800.65
T0002437,2025-10-22 22:20:16.608166,A003855,A001512,54.05
T0020796,2025-11-03 18:55:50.608166,A004039,A000511,4073.06
T0018326,2025-11-08 02:43:11.608166,A003955,A002801,677.13
T0009419,2025-10-22 21:35:25.608166,A002180,A000168,2481.56
T0003371,2025-10-25 02:36:31.608166,A003711,A001235,1779.16
T0010874,2025-10-29 18:34:02.608166,A004989,A001380,563.18
T0001396,2025-11-16 07:56:26.608166,A001812,A001672,2348.79
T0001454,2025-11-12 19:15:25.608166,A003260,A003820,705.44
T0010750,2025-11-10 09:22:48.608166,A004862,A000711,508.31
T0008369,2025-11-10 19:09:35.608166,A003887,A003828,705.74
T0025713,2025-11-07 19:11:19.608166,A002435,A004302,967.15
T0008147,2025-11-15 05:36:04.608166,A002551,A002975,582.73
T0025462,2025-10-30 15:21:12.608166,A004134,A000495,184.53
T0013634,2025-11-14 02:10:21.608166,A004410,A002135,1261.79
T0013544,2025-10-26 05:40:10.608166,A000519,A004554,324.02
T0025959,2025-10-31 00:50:18.608166,A004979,A004579,2586.39
T0001609,2025-10-23 02:00:52.608166,A003414,A001570,1096.46
T0001437,2025-11-17 17:28:24.608166,A000042,A004609,1144.41
T0021500,2025-10-28 22:28:56.608166,A001066,A000775,1433.33
T0006274,2025-10-23 13:43:38.608166,A000272,A002399,2898.36
T0017994,2025-11-06 06:57:13.608166,A000650,A002515,1292.2
T0005874,2025-10-30 06:37:07.608166,A001552,A003105,229.25
T0008415,2025-11-17 10:53:54.608166,A004166,A003447,297.13
T0021671,2025-11-06 04:15:16.608166,A003114,A001113,2167.61
T0025799,2025-11-12 20:29:54.608166,A004403,A000202,1773.12
T0006385,2025-11-09 06:34:42.608166,A000053,A000120,3544.3
T0015358,2025-11-16 22:50:42.608166,A001863,A004102,1596.27
T0023283,2025-11-09 23:05:49.608166,A004583,A002304,2621.56
T0016726,2025-11-06 15:15:36.608166,A001690,A000396,232.14
T0021770,2025-10-30 14:18:27.608166,A000167,A001213,984.12
T0009305,2025-11-05 23:13:25.608166,A000067,A002915,1645.39
T0016116,2025-10-23 12:44:42.608166,A001985,A002440,114.94
T0019192,2025-11-15 10:59:23.608166,A004124,A002008,3223.29
T0008950,2025-11-05 10:24:28.608166,A004246,A004334,976.47
T0009906,2025-11-05 21:35:33.608166,A002511,A002782,1256.96
T0011052,2025-10-24 19:51:58.608166,A003043,A002626,220.06
T0011187,2025-11-13 15:57:43.608166,A003283,A002329,106.74
T0013909,2025-10-28 04:15:27.608166,A001483,A004148,1428.17
T0025490,2025-11-05 08:15:34.608166,A004172,A003304,142.42
T0001744,2025-10-24 17:28:09.608166,A004451,A003833,2711.93
T0016117,2025-11-17 14:14:42.608166,A000520,A003198,595.21
T0009504,2025-11-06 13:40:39.608166,A003722,A000867,199.87
T0022159,2025-11-03 21:49:39.608166,A001542,A002607,1603.13
T0012530,2025-11-08 22:06:20.608166,A004356,A000273,110.78
T0010562,2025-11-01 14:47:14.608166,A004488,A004774,2808.92
T0016055,2025-10-31 14:31:07.608166,A000058,A003537,264.9
T0023198,2025-11-12 12:49:47.608166,A004017,A002264,806.27
T0004483,2025-11-16 20:58:42.608166,A003472,A003383,1833.06
T0008964,2025-10-26 13:49:01.608166,A003339,A002005,2300.1
T0018582,2025-11-18 19:18:05.608166,A001950,A001446,2349.97
T0005144,2025-11-15 02:51:18.608166,A000351,A003053,1088.25
T0001139,2025-11-15 12:28:52.608166,A000799,A002609,478.16
T0001082,2025-11-01 21:36:46.608166,A003051,A002548,705.9
T0005574,2025-11-16 15:20:09.608166,A003550,A003314,1011.57
T0008558,2025-11-01 04:49:06.608166,A000628,A002909,3036.63
T0011094,2025-11-08 11:08:45.608166,A000284,A002150,1051.12
T0014666,2025-10-24 08:08:05.608166,A001986,A002187,4625.19
T0024465,2025-11-17 11:52:00.608166,A003118,A001580,947.03
T0001885,2025-11-16 02:55:34.608166,A004713,A000756,394.42
T0021179,2025-11-05 18:52:50.608166,A000833,A002465,1839.33
T0013031,2025-11-13 17:30:22.608166,A000914,A001402,2089.44
T0012987,2025-10-27 04:04:09.608166,A002205,A002626,1901.32
T0012780,2025-10-29 12:14:06.608166,A002257,A003195,1006.04
T0014182,2025-10-27 02:32:05.608166,A004352,A002540,1844.55
T0021338,2025-11-18 05:23:32.608166,A000996,A001229,2868.56
T0003744,2025-10-28 12:50:05.608166,A000465,A002821,1592.97
T0000766,2025-10-25 12:11:15.608166,A004861,A000366,1327.29
T0005595,2025-11-10 07:41:09.608166,A002332,A004699,843.65
T0014867,2025-10-27 06:33:55.608166,A001312,A003028,4183.73
T0016717,2025-11-10 21:25:57.608166,A001363,A000293,76.08
T0001281,2025-11-03 01:07:26.608166,A002585,A004390,1290.25
T0001857,2025-11-01 10:32:58.608166,A001823,A003680,3624.28
T0016188,2025-10-28 07:05:27.608166,A004214,A000221,1456.03
T0011777,2025-10-27 14:56:48.608166,A000828,A003863,1094.22
T0018493,2025-11-14 12:16:50.608166,A004386,A004321,1268.09
T0022199,2025-10-31 18:13:55.608166,A001330,A001574,5844.7
T0015944,2025-11-17 09:51:55.608166,A003978,A001778,1511.16
T0002619,2025-11-19 07:40:57.608166,A003263,A003441,3579.33
T0022135,2025-11-07 09:47:38.608166,A001533,A002264,336.38
T0018659,2025-11-18 00:16:37.608166,A001328,A002980,31.68
T0014786,2025-10-27 05:35:49.608166,A004694,A004828,1501.73
T0004665,2025-11-18 10:37:28.608166,A001194,A000104,3317.66
T0012219,2025-10-23 07:02:28.608166,A003750,A001191,3369.59
T0003890,2025-11-05 02:30:58.608166,A000486,A004853,340.18
T0007953,2025-10-28 05:33:55.608166,A001256,A001100,356.55
T0020990,2025-11-17 12:24:50.608166,A000671,A001234,166.2
T0024899,2025-10-26 07:52:55.608166,A000598,A003448,2516.19
T0001394,2025-11-14 02:29:38.608166,A004735,A004506,3851.4
T0016857,2025-10-21 14:29:54.608166,A000888,A001758,476.87
T0023208,2025-11-12 13:38:47.608166,A002264,A002736,1458.6
T0001631,2025-11-03 04:22:51.608166,A001012,A000938,1648.21
T0024744,2025-11-10 18:59:49.608166,A000866,A003320,4390.99
T0021613,2025-10-23 13:10:45.608166,A001094,A001003,1464.19
T0024288,2025-11-02 12:51:57.608166,A004368,A003041,1836.41
T0020627,2025-11-17 15:18:43.608166,A002330,A000381,1912.69
T0026686,2025-11-07 05:54:57.608166,A003073,A003983,501.9
T0001858,2025-11-14 07:16:20.608166,A001622,A000721,3462.99
T0012387,2025-10-30 08:21:03.608166,A001083,A002953,1945.61
T0010685,2025-11-09 20:18:43.608166,A001410,A001651,4245.51
T0001306,2025-10-22 19:35:07.608166,A004536,A000646,1569.11
T0010787,2025-11-06 08:08:42.608166,A003047,A000322,120.04
T0023611,2025-10-30 11:04:46.608166,A002671,A002552,2168.67
T0015190,2025-10-26 18:48:32.608166,A003450,A000963,1161.86
T0005830,2025-10-27 01:39:37.608166,A003266,A002495,765.43
T0003015,2025-10-23 22:16:47.608166,A003706,A000745,956.13
T0011953,2025-10-29 20:01:01.608166,A003261,A000944,3272.93
T0023407,2025-11-13 19:31:14.608166,A001894,A002389,7116.24
T0004311,2025-11-10 08:07:25.608166,A002918,A003761,2437.89
T0017045,2025-11-14 02:44:04.608166,A000491,A004153,34.04
T0008713,2025-10-29 19:20:41.608166,A002899,A004744,3522.49
T0007876,2025-11-02 11:18:56.608166,A000727,A000125,1892.14
T0024274,2025-11-15 22:39:22.608166,A003022,A003679,707.11
T0025583,2025-11-03 03:58:52.608166,A001291,A004236,395.02
T0006599,2025-11-11 18:13:17.608166,A004376,A000742,1520.33
T0005562,2025-11-04 11:54:08.608166,A001093,A000649,4319.03
T0017811,2025-11-17 11:35:48.608166,A002011,A002618,358.34
T0002729,2025-11-04 02:31:44.608166,A000429,A001610,3013.05
T0024981,2025-10-22 19:46:26.608166,A000633,A003568,67.71
T0010222,2025-11-09 06:23:09.608166,A000726,A004176,685.99
T0000503,2025-11-09 09:26:24.608166,A000991,A002696,579.37
T0024648,2025-11-02 03:28:54.608166,A003187,A003286,457.45
T0022462,2025-10-21 17:30:52.608166,A004012,A001681,138.56
T0018035,2025-11-08 15:41:52.608166,A001142,A003027,1960.43
T0017275,2025-10-23 08:54:07.608166,A001857,A002203,75.27
T0019402,2025-11-05 17:05:26.608166,A001057,A002997,2043.83
T0012604,2025-10-24 03:40:33.608166,A000884,A002199,2588.17
T0021709,2025-11-08 22:45:59.608166,A002289,A001172,85.41
T0018269,2025-10-23 04:13:17.608166,A004503,A003663,1390.01
T0010489,2025-11-09 01:58:28.608166,A004591,A004290,2794.45
T0001791,2025-11-19 15:09:15.608166,A004944,A001346,258.22
T0019363,2025-11-19 10:09:58.608166,A000410,A004783,1805.77
T0004458,2025-11-05 21:35:05.608166,A003693,A000321,647.55
T0009374,2025-11-08 09:17:57.608166,A002417,A004819,1175.28
T0026991,2025-11-14 17:22:57.608166,A002845,A003409,202.36
T0022054,2025-11-06 01:22:38.608166,A001458,A002196,758.92
T0021904,2025-10-24 17:02:10.608166,A001309,A002237,2292.18
T0025316,2025-11-16 03:03:03.608166,A001361,A003972,1052.08
T0026400,2025-10-28 02:41:12.608166,A002598,A004943,1947.21
T0003067,2025-10-30 22:36:59.608166,A000565,A003872,330.48
T0002711,2025-10-21 19:09:26.608166,A000361,A004665,1445.93
T0008826,2025-11-04 12:26:35.608166,A002204,A002522,1267.26
T0004256,2025-11-07 13:38:25.608166,A003428,A003505,1016.16
T0011236,2025-11-03 15:48:04.608166,A000743,A002073,1538.13
T0019525,2025-11-06 23:45:23.608166,A003821,A004128,796.85
T0009575,2025-10-31 09:11:07.608166,A000990,A001498,1415.35
T0017417,2025-10-21 08:00:31.608166,A001248,A003388,597.28
T0001450,2025-11-10 16:35:03.608166,A004062,A000138,879.21
T0025147,2025-10-30 02:35:15.608166,A003733,A000092,1599.42
T0024877,2025-11-13 01:27:27.608166,A003409,A003390,3223.07
T0002180,2025-11-18 15:19:48.608166,A002603,A003748,3532.38
T0010446,2025-11-04 02:15:26.608166,A003714,A003502,1259.88
T0019109,2025-11-04 14:01:43.608166,A001669,A001552,1612.82
T0025360,2025-10-27 23:16:06.608166,A003983,A001172,1098.72
T0013672,2025-10-31 09:53:28.608166,A002719,A003251,130.99
T0011232,2025-10-23 21:16:36.608166,A004183,A001365,2781.09
T0013709,2025-10-22 23:50:02.608166,A002376,A001744,2131.56
T0021953,2025-10-25 03:06:17.608166,A001366,A002967,1228.99
T0004205,2025-11-03 04:47:57.608166,A004009,A000624,2396.42
T0008049,2025-10-26 17:23:43.608166,A001526,A003865,128.72
T0018102,2025-11-14 08:56:56.608166,A002153,A002114,999.27
T0001871,2025-11-13 07:44:32.608166,A002087,A003891,33.05
T0019961,2025-11-06 01:54:33.608166,A001843,A000808,944.15
T0000448,2025-11-13 08:37:36.608166,A003940,A004325,2274.72
T0024522,2025-11-01 11:59:59.608166,A003138,A001582,67.22
T0019769,2025-10-27 11:56:52.608166,A003372,A000480,312.42
T0016414,2025-10-31 06:18:56.608166,A003678,A003825,1624.22
T0023108,2025-10-23 14:17:51.608166,A000976,A002229,1244.25
T0016364,2025-10-24 09:02:33.608166,A004944,A004354,1408.28
T0011929,2025-11-03 11:13:03.608166,A001453,A000124,418.4
T0016788,2025-10-22 15:11:03.608166,A000365,A002283,516.02
T0017573,2025-11-01 07:04:52.608166,A000104,A003662,299.66
T0018831,2025-11-16 11:51:26.608166,A002129,A001389,287.94
T0021172,2025-11-05 20:14:50.608166,A000833,A002456,1435.66
T0011252,2025-10-28 02:41:58.608166,A001026,A004081,79.64
T0022332,2025-10-23 10:20:30.608166,A003586,A001621,1817.13
T0023206,2025-11-12 15:14:47.608166,A004940,A002264,698.61
T0008833,2025-11-03 00:32:38.608166,A002889,A003852,1193.41
T0024767,2025-11-10 20:01:49.608166,A004514,A003320,114.64
T0013351,2025-11-03 08:38:30.608166,A000733,A004365,790.49
T0010617,2025-10-30 18:12:35.608166,A001769,A000563,291.33
T0007516,2025-11-18 07:41:59.608166,A004836,A003534,1798.2
T0022132,2025-11-07 10:45:38.608166,A001533,A004038,884.76
T0017930,2025-11-11 01:55:43.608166,A004822,A004394,962.33
T0002328,2025-10-30 08:55:21.608166,A001701,A003733,2396.65
T0005236,2025-11-05 05:58:41.608166,A003918,A004915,966.09
T0022468,2025-10-21 18:01:52.608166,A004055,A001681,162.03
T0009122,2025-11-14 04:03:48.608166,A004980,A004302,1674.03
T0020199,2025-10-24 17:42:40.608166,A000092,A003888,2579.43
T0001186,2025-11-04 14:57:05.608166,A001133,A000701,4935.46
T0019577,2025-10-28 21:21:18.608166,A002618,A001948,2260.25
T0000386,2025-11-16 01:25:07.608166,A000262,A002974,99.8
T0026851,2025-11-12 01:39:57.608166,A001309,A003022,111.05
T0017842,2025-11-01 05:42:15.608166,A000327,A003427,13.1
T0020544,2025-11-19 01:21:28.608166,A003835,A000328,132.21
T0011866,2025-11-01 15:53:52.608166,A004085,A001440,709.29
T0005549,2025-11-05 03:18:45.608166,A003376,A003648,1089.35
T0004883,2025-11-08 21:49:09.608166,A000603,A004883,191.24
T0017688,2025-11-02 00:56:33.608166,A003074,A004590,20.89
T0003841,2025-11-15 01:28:14.608166,A000850,A000626,441.95
T0006800,2025-11-06 18:44:53.608166,A001109,A002804,783.06
